NUMERO> ;NOME>                    ;SNS>       ;ABO;Rh>
810313;Buffy Reid;921852441;A;+
664827;Iliana Delacruz;239793779;B;-
508813;Clark Dunn;820490720;O;+
140919;Shana Strickland;373469317;AB;+
835955;Ahmed Suarez;625668773;O;+
753509;Quinn Estrada;898841331;A;+
437727;Iris Carr;752903917;A;+
647533;Joan Richardson;508423537;B;+
604087;Orla Owen;761234915;B;-
472480;Wang West;348889619;B;+
376858;Baker Keller;390209572;O;+
788836;Griffith Macdonald;372709943;AB;-
777218;Austin Savage;291403253;AB;-
797108;Lee Shields;269671522;B;-
921290;Olivia Valentine;810095006;O;-
900573;Kenneth Arnold;632862603;O;+
101755;Beatrice Hickman;660368133;AB;-
894654;Shay Velazquez;962547118;A;+
698603;Gemma Mcfadden;871885262;A;-
302958;Yetta Vaughan;495436396;O;+
928975;Aristotle Savage;841048391;A;-
716548;MacKenzie Mclaughlin;263047988;O;+
451270;Stella Miller;431244396;AB;-
533640;Hamish Kent;670733201;A;-
642117;Dana Roth;911863915;B;-
271925;Echo Weiss;644890225;O;-
745348;Gareth Horton;756050804;AB;+
401339;Nigel Rowland;882459594;AB;+
630606;Tatiana Chen;430128363;AB;-
548196;Sacha Sosa;954169423;B;-
893463;Fatima Garcia;428933430;O;+
466558;Margaret Carson;994608476;AB;-
878294;Joseph Mayer;175344608;B;+
213799;Luke Compton;502200405;O;-
943608;Jael Nash;331645977;AB;+
526803;Emi Pugh;478933468;A;-
299357;Herman Roberts;442082586;AB;+
423104;Laura Harper;738123371;B;-
583102;Leila Burris;748341289;O;+
988964;Rafael Vinson;770123480;O;+
537459;Kim Newton;541535768;O;-
602333;Martina Olson;580132593;A;-
656701;Edan Bass;991507823;O;+
237632;Yuri Garcia;865725903;B;+
439075;Sonya Fowler;615376301;B;+
385107;Uma Kramer;906039161;O;-
352443;Yvette Patterson;403890960;B;-
428163;Hammett Justice;485096193;A;+
888817;Quentin Merritt;741179640;AB;-
876785;Brendan Sellers;298470628;AB;-
336249;Tatum Farmer;831233491;O;+
414394;Travis Wright;869213689;O;-
694767;Shelly Rose;858154150;B;-
149457;Stacy Cummings;239535449;O;-
370628;Athena Moran;246535680;B;-
724609;Karina Gay;605407153;O;+
570797;Amanda Daniels;839756484;B;-
392626;Amos Velasquez;589405553;O;+
627080;Sopoline Harris;739677277;AB;-
754852;Ava Day;300928050;B;+
714791;Brock Lawrence;130607607;AB;-
144653;Rebekah Harris;238388017;B;+
692185;Leonard Weber;961900047;O;-
200541;Dieter Black;126112130;AB;-
347676;Lana Mullen;774935844;A;+
836190;Casey Contreras;688762116;B;+
118790;Courtney Warren;329125293;A;-
106777;Ronan Gray;532034594;B;+
689792;Nerea Mercado;979033607;A;+
272838;Giselle Doyle;413284279;B;-
794915;Portia Wall;374636800;O;-
403996;Carl Woods;875957029;O;-
978284;Cain Hardin;883816347;AB;-
544130;Virginia Estrada;549778115;O;-
716452;Paula House;928192758;A;-
199421;Lacota Olsen;218940135;AB;+
994318;Jennifer Hawkins;510268665;A;+
645206;Bradley Buckner;559535871;O;-
300304;Azalia Pierce;749360088;A;+
201990;Kermit Nguyen;345376759;B;+
499190;Dahlia Franco;394907416;AB;-
352584;Vera Savage;754786279;O;-
491548;Oren Fuller;454798974;B;-
617185;Ivor Kaufman;576912610;B;-
857519;Leigh Berger;867775493;A;-
278284;Fiona Francis;786747246;O;+
735602;Clio Wade;106326444;AB;-
473044;Griffith Atkins;390825840;A;-
438151;Trevor Graham;962164817;AB;+
584673;Scott Mullen;358666315;B;+
434624;Karleigh Gibbs;814181131;B;+
365216;Xena Spears;465921012;O;-
226369;Harding Weber;984710555;AB;-
916967;Hedda Barron;351373523;B;+
216527;Sierra Houston;894532828;AB;+
990168;Brittany Donaldson;208239753;A;-
165694;Neve Todd;468804196;A;+
464269;Eugenia Dixon;350396931;B;+
735003;Samantha Greer;806227781;O;-
786395;Olivia Vaughan;647145414;A;+
623377;Raven Barnes;283337875;O;+
638450;Quon Leonard;407419867;B;+
842048;Kaseem Osborn;494295677;O;-
794756;Xena West;766313910;O;+
960992;John Ball;493835855;A;+
973358;Gay Pope;873106467;O;+
526585;Raymond Wells;673848617;A;-
769263;Tatyana Gilbert;787630921;B;+
479207;Aileen Perez;968103024;AB;+
267374;Ursula Thompson;130935811;AB;-
982745;Martina Dalton;750611134;AB;-
431178;Ray Hebert;701952055;B;+
715273;Angela Preston;987522198;AB;-
144897;Amity Fry;260772364;B;+
531599;Xavier Dunn;736158604;O;-
622839;Branden Gill;268349930;AB;+
213184;Iona Eaton;273003140;AB;-
868505;Jennifer Hale;576352415;O;+
331683;Lionel Santos;730113128;A;-
186558;Cailin Mathis;723590407;B;+
379503;Zephr Sutton;524871668;A;-
812660;Castor Mcclain;799475321;AB;-
151967;Joseph Walls;647329134;AB;-
358622;Serena Aguilar;359497933;B;+
555861;Willa Vasquez;408028829;O;-
356208;Fritz Lane;361032898;AB;+
163877;Wendy Dominguez;491645462;AB;+
985674;Ryan Castillo;256309402;AB;+
742611;Lunea Snider;991501051;O;-
868827;Alisa Brown;600523088;B;+
531056;Alden Richmond;722686119;AB;+
675241;Robin Montgomery;405217976;AB;+
112329;Sonia Barnes;771554837;O;+
334496;Roanna Morton;397369690;O;+
247601;Eliana Dominguez;442116873;O;-
715719;Yetta Floyd;702400853;AB;+
448574;Brandon Mullen;973557528;AB;+
383333;Adrian Marshall;632831294;AB;-
710103;Xyla Shaw;639132440;AB;+
800566;Fitzgerald Sullivan;666067655;A;-
478035;Norman Diaz;877358352;A;+
720803;McKenzie Mckee;512943556;O;+
765022;Josephine Phelps;889497884;AB;-
333312;Gisela Fernandez;274937236;B;-
120201;Kasper Rush;981111992;B;-
663996;Uriah Riggs;181608269;A;+
542525;Nathaniel Russell;258219617;A;+
603426;Madison Webster;428281350;A;-
124175;Jack Kidd;832815444;AB;-
284599;Sigourney Velez;119898897;A;+
654004;Lana Olsen;467357368;AB;-
850207;Malachi Meadows;332712005;A;-
118491;Jonah Cooley;424419961;O;-
425516;Teagan Bradshaw;940147279;AB;-
709059;Aiko Burnett;811090994;B;+
908223;Yetta Clark;217029263;B;+
677947;Abigail Greer;837447659;A;+
412888;Hop Valdez;804348553;O;-
577475;Zelenia Bonner;747762799;A;+
104557;Diana Atkinson;971174095;B;+
276896;Juliet Macias;895400863;B;+
283061;Edan Estes;741954683;A;-
831319;Alika Wilkins;378727418;B;-
196505;Herrod Gonzalez;839001909;AB;+
127506;Yuli Nichols;953578356;B;+
224205;September Estes;689123255;A;-
465922;Fleur Frank;834994701;AB;+
413227;Leslie Garner;236680809;B;+
341376;Claudia Fletcher;343870031;A;+
218092;Carl Hardin;640115625;B;+
608679;Cassidy Brewer;301284772;A;+
603920;Xantha Arnold;630462512;O;+
766676;Hilda Gaines;906836203;A;+
134788;Barry Garrett;287180967;AB;-
266059;Reese Rodgers;226652799;O;+
231222;Nolan Collins;307063649;AB;+
325532;Wynter Larson;789430470;B;-
281830;Brenna Snyder;225648865;O;-
916853;Mufutau Bradford;729624583;B;-
956041;Ariana Barnett;339411303;A;-
465990;Jamalia Berger;384524110;AB;+
602680;Adam Buckner;934525134;B;-
233236;Uma Roth;213166057;O;+
279588;Amena Boone;831699178;AB;-
232743;Joy Lawrence;159047227;AB;-
414515;Kasper Whitley;617112220;B;+
974012;Uma Patrick;886961622;AB;+
280886;Harding Bush;898919713;B;+
244472;Len Dunlap;136832580;B;+
562710;Belle Mcleod;396893239;O;+
837457;Keefe Mcconnell;785204977;A;-
899220;Kibo Rojas;495957404;A;-
414407;Burton Rosario;899156435;O;-
889426;Zoe Mcbride;331676503;AB;-
666466;Ralph Marshall;617141222;AB;-
962236;Xantha Jennings;631555276;AB;-
109957;Jackson Singleton;473836109;B;+
485596;Alexa Duran;567512313;B;+
654651;Melissa Haney;561037552;AB;-
520863;Claire Ross;456998729;AB;-
760861;Quinn Ratliff;496641078;O;-
136749;Xenos Merrill;102657395;B;-
209230;Tanya Hahn;674014331;A;+
270329;Imogene Cote;938946305;O;+
875850;Jessica Macdonald;165827423;O;-
309768;Helen Garrison;294412640;A;-
837937;Aiko Pace;269017801;B;+
746422;Quail Farley;584176560;O;+
746804;Tatum Bray;952331541;A;-
181876;Seth Randall;871328601;A;+
976545;Davis Nunez;744856889;AB;+
826596;Tallulah Holder;385514168;O;+
742900;Kato Levine;244041086;A;+
972368;Macaulay England;851020805;B;-
241423;Ezekiel Key;103254221;O;-
232855;Mollie Mckay;404431727;AB;-
998204;Hector Best;627206763;AB;-
246912;Zephr Clements;543302061;O;-
911159;Kiara Johnston;246209083;B;+
112661;Emma Henderson;976351050;B;-
306231;Benjamin Nolan;482242322;A;+
893658;Daniel Lott;711737113;AB;+
517539;Julie Barker;100778775;AB;+
971672;Maris Sharp;271160607;A;+
125912;Keiko Burke;380285958;A;+
811732;Scarlett Garrison;477976081;A;+
185858;Wendy Lynn;874629766;O;-
832352;Kai Calhoun;508335693;O;+
256157;Rhona Delaney;676533096;A;+
276604;Vaughan Barry;161957763;O;+
289673;Lillith Cook;485841182;AB;-
864707;Shaine Mccarty;592067817;A;-
953227;Jolie Fox;707472595;AB;+
379653;Stella Terrell;770629232;O;-
476864;Carissa Hahn;145447343;AB;+
412277;Pearl Hunt;588973700;B;+
285054;Xyla Bolton;748788041;A;-
782656;Calista Church;806201826;B;+
610820;Inez Robles;272610142;AB;-
833831;Hayfa Duncan;927745707;AB;+
954426;Avye Brewer;835630188;AB;+
392258;Micah Wall;434252388;AB;+
162023;Vincent Nichols;174952391;A;-
516948;Taylor Puckett;230513603;O;-
126511;Jade Tran;680312602;B;-
797088;Kennedy Horn;897618114;A;-
419870;Knox Calhoun;846277781;AB;+
898933;Nigel Cash;282986404;AB;-
442056;Mollie Snow;745673796;A;-
416024;Rinah Cardenas;317604491;O;-
270199;Kasper Ballard;941126355;AB;-
179399;Vielka Petersen;366645704;O;+
166537;Lydia Frost;355815138;A;+
286907;Ivory Hahn;721149953;A;-
991119;Felix Bates;821356715;O;-
136550;Phelan Palmer;855619642;B;+
833205;Sarah Fields;779048095;A;-
315396;Megan Conner;574558395;AB;-
