NUMERO> ;NOME>                    ;SNS>       ;ABO;Rh>;SEXO>;DATA NASC.> ;RUA>                    ;CÓD. POSTAL>;LOCALIDADE>     ;PAÍS>        ;E-MAIL>                                   ;TEL.>     ;TELM.>    
857041;Mannix Baird;778842293;O;+;M;15-09-1955;P.O. Box 700, 6502 A, St.;4714-439;Barcelos;Portugal;Nullam.lobortis.quam@arcueuodio.net;243737215;948838955
397662;Mira Walker;951380607;AB;+;F;29-03-1992;219-127 Quis St.;4735-591;Barcelos;Portugal;Aenean@sagittis.net;251177892;958178433
863281;Connor Camacho;315186153;O;+;M;12-07-1968;933-9056 Mauris St.;4923-116;Coimbra;Portugal;facilisis.Suspendisse.commodo@Vivamusnibhdolor.edu;217844554;958491396
921381;Regan Dotson;507460017;AB;+;F;05-10-1955;5570 Amet Av.;4282-215;Braga;Portugal;luctus@euismod.org;277242671;944217482
507187;Sheila Andrews;760515184;B;+;F;16-02-1964;P.O. Box 102, 274 Erat Rd.;4441-318;Guimarães;Portugal;amet.dapibus.id@pede.org;234357836;977562481
733174;Jakeem Barnes;462684730;A;-;M;12-11-1959;P.O. Box 413, 8393 Amet Avenue;4664-841;Lisboa;Portugal;dolor.quam.elementum@malesuada.edu;284914746;967752498
664750;Dane Branch;316274823;O;-;F;06-05-1964;Ap #311-7447 Ipsum Av.;4319-357;Lisboa;Portugal;diam@ornareplacerat.edu;268828688;981696917
511965;Teagan Collins;537889805;B;+;M;30-09-1983;109-2879 A St.;4265-475;Coimbra;Portugal;Cum.sociis.natoque@enimcommodohendrerit.net;253251338;935545342
849804;Jacqueline Sweet;882918446;A;-;M;09-10-1991;P.O. Box 995, 5894 Consequat Road;4626-712;Porto;Portugal;fermentum.vel@fringilla.org;248336323;913221934
221982;Bernard Trevino;140645198;AB;+;M;03-10-1982;7340 Egestas Rd.;4173-831;Porto;Portugal;fringilla.ornare.placerat@ante.ca;262875674;931262137
462182;Adria Delgado;378678259;B;-;M;11-04-1971;P.O. Box 289, 9207 Posuere Rd.;4346-138;Lisboa;Portugal;malesuada.fames@metusIn.net;234966712;927485681
605868;Dawn Gross;515197680;A;+;F;06-08-1988;914-7338 Nibh Rd.;4416-945;Guimarães;Portugal;est@purus.ca;283128654;924282998
134212;Candice Alvarez;893709617;B;-;F;03-05-1984;P.O. Box 341, 4611 Nec Ave;4559-158;Guimarães;Portugal;sem.molestie@duiaugueeu.co.uk;277784513;987853982
847883;Kelsey Gray;302968611;AB;-;F;25-11-1956;Ap #556-5442 Placerat St.;4536-586;Porto;Portugal;egestas.Aliquam@sollicitudin.edu;216376341;935627399
124229;Deanna Dixon;318667343;O;+;F;14-06-1992;861-1632 Odio St.;4841-856;Lisboa;Portugal;a.malesuada@nequeNullam.co.uk;264242747;971442152
547947;Cassidy Walters;410945937;A;-;M;04-08-1961;P.O. Box 824, 8763 Vitae Street;4639-542;Barcelos;Portugal;dolor.Fusce.feugiat@Integerinmagna.ca;296514217;962197273
290308;Lucas Hayes;304999319;A;-;M;27-01-1965;Ap #455-1738 Nunc Av.;4727-743;Coimbra;Portugal;tempor.bibendum@anteNunc.org;232872661;991835514
204828;Justina Simpson;796902698;A;-;M;08-11-1957;409-5186 Dui Rd.;4332-943;Lisboa;Portugal;Duis.at.lacus@nibhenim.org;296725743;991274965
956907;Lawrence Small;794216774;O;+;F;27-06-1984;468-2113 Nec Av.;4881-365;Porto;Portugal;blandit.enim@ullamcorperDuisat.ca;252733586;958622691
423338;Chantale Vang;664048944;A;-;M;02-06-1987;P.O. Box 905, 7567 Aliquet Road;4271-387;Guimarães;Portugal;lacus@odioEtiam.co.uk;285583236;958578635
716640;Kristen Anderson;122752841;O;-;M;24-05-1964;949-1745 Dapibus Av.;4335-987;Lisboa;Portugal;blandit.mattis@auctor.com;233725448;983385781
977699;Felix Combs;208522567;B;+;M;24-06-1958;6904 Mattis Ave;4764-337;Lisboa;Portugal;id.sapien.Cras@acrisus.com;273877579;931621113
827127;Roanna Mercado;218835961;B;-;F;01-10-1967;P.O. Box 958, 237 Lorem, Rd.;4894-268;Guimarães;Portugal;vulputate.dui.nec@tinciduntcongue.org;246392856;974627377
803443;Amena Duncan;621945614;B;+;F;07-07-1977;P.O. Box 199, 3467 Elit St.;4331-267;Porto;Portugal;ac.metus@Pellentesque.com;291576762;936379424
130074;Ariel Barry;272298587;B;-;M;17-08-1976;3199 Vel, Ave;4652-744;Coimbra;Portugal;neque.et@leo.com;254422345;967613272
923482;Hollee Weiss;979118517;A;+;M;16-11-1969;388-6833 Proin Street;4856-186;Porto;Portugal;Nulla@anunc.ca;245576823;938976916
275279;Naomi Lawrence;243852388;A;+;F;20-05-1957;1901 Ut St.;4325-295;Braga;Portugal;adipiscing@pede.co.uk;256361518;918916293
903756;Carissa Cook;418000023;A;+;F;04-03-1974;P.O. Box 614, 5990 Justo St.;4366-681;Porto;Portugal;lorem.ac@Nullam.net;221115496;936869451
660441;Ira Sims;250899425;A;-;F;23-08-1993;P.O. Box 407, 4371 Elit, Av.;4618-343;Coimbra;Portugal;id@eleifendnuncrisus.co.uk;284937683;926565599
770906;Neville Powell;947996607;O;+;F;11-10-1981;698-4543 Dictum Street;4531-316;Braga;Portugal;senectus@Phasellusdapibus.ca;291975288;918585442
754882;Kellie Garcia;776271566;AB;+;M;02-09-1977;Ap #117-8351 Enim. Av.;4162-643;Barcelos;Portugal;orci@Utsemperpretium.org;261529685;967394823
690515;Quincy Nolan;841981255;B;-;F;22-02-1991;3329 Non, Rd.;4797-541;Braga;Portugal;ut@estarcuac.ca;282775749;953188456
530542;Dale Berry;151232795;AB;+;M;09-09-1989;2127 Phasellus Avenue;4896-227;Lisboa;Portugal;urna.suscipit@necorciDonec.net;211339696;942131252
295046;Judith Collins;703191439;O;-;M;20-12-1970;P.O. Box 177, 4099 Dis St.;4254-912;Barcelos;Portugal;risus.varius.orci@eu.net;242654228;931822737
434228;Montana Strong;674855072;O;-;F;18-10-1961;Ap #153-6279 Ligula. Avenue;4563-152;Braga;Portugal;Nunc.laoreet@DonectinciduntDonec.org;246787122;962272754
380727;Regina Buckner;738522939;B;+;M;01-09-1971;Ap #462-9613 Et Ave;4892-715;Braga;Portugal;nec.tempus@molestieSed.edu;275799936;974387466
203320;Dominique Walton;530923422;AB;-;M;18-01-1958;268-2292 Nulla Rd.;4152-664;Porto;Portugal;ultricies@maurisSuspendissealiquet.org;226982653;966538366
533322;Holmes Dawson;133637129;B;-;M;27-11-1986;687-9994 Aliquet Av.;4793-491;Guimarães;Portugal;pede@sedtortorInteger.org;231493624;943949318
681567;Yeo Levine;363013108;O;-;M;29-06-1983;Ap #890-8412 Sociis Ave;4672-661;Braga;Portugal;mi@inlobortis.com;264769738;931468331
936102;Delilah Evans;825094251;AB;+;M;06-05-1987;121 Ultricies Avenue;4479-376;Lisboa;Portugal;vulputate.ullamcorper.magna@enimdiamvel.com;251381843;982946296
219574;Charlotte Bryant;456694956;AB;+;M;12-11-1957;P.O. Box 544, 8889 Posuere Road;4375-497;Barcelos;Portugal;sit.amet.consectetuer@nulla.edu;282383613;983494729
111064;Kylie Camacho;458485749;O;+;F;09-04-1960;P.O. Box 456, 5542 In St.;4479-711;Coimbra;Portugal;Aliquam.erat@IntegermollisInteger.com;263314372;961373633
937511;Lane Mendez;321729407;O;+;M;15-07-1993;278-7312 Cursus Av.;4599-166;Lisboa;Portugal;est@pedeNunc.co.uk;269499662;969979583
202829;Oscar Moreno;736808251;A;-;F;30-01-1965;Ap #700-903 Dictum Ave;4274-766;Coimbra;Portugal;rhoncus.Proin.nisl@augueut.edu;227895691;941725997
319519;Wynne Riddle;939462732;O;+;M;09-08-1976;P.O. Box 896, 1672 Libero Avenue;4164-489;Barcelos;Portugal;feugiat.non.lobortis@adipiscingfringilla.org;297157793;957699788
381112;Paul Gonzalez;197402267;A;+;F;18-06-1978;9800 Arcu. Av.;4797-422;Coimbra;Portugal;Nulla.facilisi@sedpede.edu;288732173;967832711
422787;Courtney Cruz;997780614;B;-;M;07-11-1972;P.O. Box 990, 1332 Ut, Rd.;4813-935;Coimbra;Portugal;amet.nulla.Donec@dictum.org;243413121;995969733
446115;Dillon Everett;884673758;O;-;M;16-12-1967;297-8693 Aliquam St.;4872-888;Coimbra;Portugal;eu.turpis@scelerisquenequesed.ca;291179697;913765751
132206;Dylan Dorsey;169870781;A;+;M;01-09-1969;8693 Non, Rd.;4784-487;Barcelos;Portugal;hendrerit.consectetuer.cursus@Maurisvestibulumneque.net;219114594;949562185
752116;Hanae Mccullough;740653139;B;+;F;23-07-1991;8759 Facilisis Road;4874-976;Guimarães;Portugal;dui.Cras@augueac.org;224943478;974186524
856543;Micah Graves;827845573;O;-;M;19-02-1980;Ap #388-778 Id St.;4716-961;Guimarães;Portugal;arcu@semmagna.com;292566662;964747457
921035;Gay Bauer;208119707;A;-;F;25-05-1976;232-6995 Et, Street;4477-425;Porto;Portugal;Etiam.vestibulum.massa@sedturpis.edu;221233362;938473394
210625;Kristen Anderson;878099504;O;+;M;03-04-1976;P.O. Box 949, 8148 Velit. Avenue;4558-629;Coimbra;Portugal;neque@gravidasagittis.edu;254524681;917993253
708707;Sade David;122485779;B;+;F;03-03-1971;825-9728 Nulla Rd.;4813-666;Porto;Portugal;pede.malesuada@asollicitudinorci.ca;298215243;926684651
897598;Rachel Phelps;100629171;A;-;M;06-06-1976;576-8582 Neque St.;4429-257;Braga;Portugal;nonummy.ut.molestie@odiosempercursus.org;282236452;942459879
718764;Donna Garcia;220712769;B;-;F;12-02-1987;637-5237 Porttitor Road;4677-166;Lisboa;Portugal;blandit@leoCras.com;264344892;965962376
653709;Charde Logan;890769781;AB;+;M;24-09-1993;P.O. Box 788, 394 Vivamus Ave;4635-416;Porto;Portugal;aliquet.Proin@felis.net;214687966;964521579
479629;Aurora Lynch;574833655;O;-;M;04-07-1985;5720 Sodales Rd.;4381-419;Barcelos;Portugal;Pellentesque.tincidunt@eratvitae.org;293587656;915198279
975136;McKenzie Mcdowell;665484386;O;+;F;23-10-1991;P.O. Box 190, 962 Phasellus St.;4235-777;Guimarães;Portugal;sed.turpis.nec@dis.org;257782924;955742233
574832;Jaime Hudson;111683062;B;-;M;07-05-1967;Ap #691-175 Vivamus Rd.;4186-928;Lisboa;Portugal;massa@erosnonenim.net;256484325;984382217
800413;Branden Underwood;809064763;O;-;F;05-04-1957;717 Dui, Avenue;4537-918;Lisboa;Portugal;in@magna.co.uk;256518121;922587773
545785;Travis Greene;833676474;AB;+;F;26-09-1962;142-1323 Vel St.;4745-373;Guimarães;Portugal;rutrum.Fusce.dolor@ametloremsemper.edu;219929478;927811535
912037;Orli Chambers;309767501;A;-;F;02-01-1964;523-9083 Aliquet, Ave;4183-154;Braga;Portugal;magna@semsempererat.net;289659787;975123139
325403;Xanthus Evans;754049511;A;+;F;13-10-1968;Ap #335-574 Amet Rd.;4639-423;Braga;Portugal;nec@adipiscing.ca;277626629;956439585
527693;Zephr Mcintyre;784816822;B;+;M;19-12-1992;2928 Mauris Street;4845-475;Coimbra;Portugal;nibh.Phasellus@gravidanunc.ca;249423412;932319147
306672;Blaze Decker;538017884;AB;-;M;17-05-1968;Ap #189-2298 At, Rd.;4771-248;Guimarães;Portugal;Duis.sit.amet@semutcursus.ca;234995217;958438992
885226;Abraham Rice;575043147;AB;+;M;06-06-1963;4814 Massa. Ave;4435-685;Coimbra;Portugal;In.mi@enim.co.uk;296136367;966244742
173427;Roanna Mckinney;871037446;A;+;M;11-09-1976;6802 In Ave;4423-459;Lisboa;Portugal;lorem@scelerisqueloremipsum.org;215832973;971327615
551645;Claudia Griffith;245940636;O;+;F;07-05-1961;1870 Malesuada Rd.;4246-924;Coimbra;Portugal;ac@lacus.net;274843161;995257165
618777;Nissim Slater;964533528;B;+;F;18-05-1962;135-8694 Eros Road;4723-882;Braga;Portugal;tempus.non.lacinia@tinciduntnibh.edu;225196572;954651429
258193;Alice Skinner;868802340;A;+;F;10-11-1959;356-628 Nunc St.;4463-628;Braga;Portugal;Nullam.enim.Sed@ultricies.com;289268972;962121439
729187;Chanda Castaneda;539734613;O;+;F;05-08-1959;3961 Ultrices. Avenue;4369-174;Braga;Portugal;ullamcorper.Duis@Crasvehiculaaliquet.org;248643596;931769944
799951;Jakeem Stephenson;753640682;A;+;F;28-04-1993;Ap #319-8334 Felis Av.;4694-933;Coimbra;Portugal;mauris.sit@ullamcorper.com;295964517;964717868
641868;Omar Donovan;183303119;A;-;F;21-06-1963;2710 Fringilla. Avenue;4492-699;Barcelos;Portugal;sem.Nulla.interdum@dictumPhasellus.ca;283945512;964381786
554925;Tanek Cross;819707056;AB;-;M;24-05-1972;8979 Dapibus Ave;4619-369;Porto;Portugal;Phasellus.libero.mauris@arcuVestibulum.org;213939117;911393399
896776;Quinlan Dickson;928868054;A;+;F;24-02-1975;Ap #251-6880 Curabitur Street;4839-934;Braga;Portugal;nonummy@eu.net;244969953;919857135
264862;Cheyenne Sharp;480565449;O;-;F;21-01-1990;P.O. Box 855, 8867 Lorem Rd.;4312-476;Guimarães;Portugal;arcu.Sed@acorciUt.net;275234668;933569555
677146;Amal Marshall;867034066;A;-;F;24-11-1993;456-7675 Gravida St.;4547-771;Coimbra;Portugal;metus.Aenean.sed@tellusAeneanegestas.ca;212998737;935986398
491187;Xenos Wright;567185542;O;-;M;20-08-1983;Ap #350-7429 Ad Street;4136-228;Barcelos;Portugal;massa@vestibulumloremsit.ca;258862487;928226959
616922;Scarlett Olsen;953396168;A;-;M;13-11-1993;P.O. Box 297, 2240 Augue Av.;4779-125;Barcelos;Portugal;a.mi@tortorNunc.edu;215413393;977939267
687585;Leah Santiago;881076279;O;-;M;02-12-1956;5663 Sed Rd.;4225-587;Lisboa;Portugal;Nullam.ut@commodo.com;247512357;917743918
950414;Rajah Clark;764673117;A;+;M;20-05-1977;941 Magna Avenue;4632-239;Braga;Portugal;rutrum@Integer.com;262416577;951755536
536109;Beck Cannon;801164798;A;+;M;17-11-1975;P.O. Box 843, 5209 Montes, Street;4894-989;Coimbra;Portugal;est@amet.edu;258441843;919841395
755974;Leo Acevedo;232801321;A;+;M;05-04-1983;4792 Lectus Av.;4125-275;Barcelos;Portugal;sem@sociisnatoque.co.uk;239879859;997243464
229012;Halla Whitfield;201784952;O;+;M;12-10-1974;Ap #726-6338 Rutrum Av.;4559-699;Lisboa;Portugal;dapibus.id.blandit@dictum.com;261252561;957127181
523889;Tamekah Bullock;942993792;O;+;F;16-03-1962;P.O. Box 626, 4421 A Road;4988-887;Guimarães;Portugal;non.justo.Proin@Aliquamerat.co.uk;215749687;983453461
249775;Driscoll Barton;588200957;O;-;M;30-01-1974;Ap #826-4845 Et Ave;4679-367;Braga;Portugal;sed.orci.lobortis@justo.ca;294616321;943639861
847690;Yael Quinn;274352453;A;+;F;28-08-1962;212-2539 Pede, Av.;4785-272;Barcelos;Portugal;erat@estvitaesodales.net;225336941;941567432
501597;Brynne Brennan;284246738;AB;+;M;26-10-1966;Ap #745-506 Mattis. Rd.;4663-424;Porto;Portugal;Integer@amet.net;278225741;968325733
138383;Tarik Miles;126637287;B;-;M;29-09-1969;P.O. Box 493, 5804 Vulputate, St.;4475-675;Porto;Portugal;porttitor@volutpatNulla.org;253931392;947256982
189393;Aurelia May;320175704;A;+;F;16-08-1957;P.O. Box 136, 1188 Vehicula. St.;4144-827;Braga;Portugal;placerat.velit@malesuadavelvenenatis.edu;263466642;952694824
818140;Colby Howard;800368794;O;+;F;16-12-1989;P.O. Box 250, 8114 Lobortis, Av.;4862-797;Barcelos;Portugal;erat.in@Donecnibh.edu;293431564;946552457
629428;Connor Richardson;355085992;A;+;M;25-09-1969;P.O. Box 350, 5627 Blandit Street;4867-725;Braga;Portugal;Duis@cursuset.net;296286297;916157155
857406;Fulton Holloway;948323388;B;+;M;17-11-1991;Ap #528-9330 Litora Rd.;4554-765;Guimarães;Portugal;Morbi.neque.tellus@Donec.ca;239878627;917551257
779008;Blair Patterson;274897556;B;+;M;12-02-1986;Ap #143-3321 Risus. Road;4683-555;Braga;Portugal;magna.Duis@tellusjustosit.com;279233718;949924757
496117;Ila Kane;220022434;B;+;M;16-06-1987;Ap #890-820 Cursus, St.;4544-771;Porto;Portugal;Curabitur@CuraeDonec.net;273749989;977886147
799178;Malik Wong;536360670;B;-;M;14-02-1987;Ap #714-5629 Eu St.;4718-935;Porto;Portugal;Integer.id@nonluctussit.co.uk;222869153;999642826
337074;Elizabeth Delaney;189064316;O;+;F;23-03-1989;836-5152 A, Av.;4875-668;Guimarães;Portugal;facilisis@ac.com;269113634;929826722
588596;Angelica Brown;642921718;A;-;M;07-01-1958;Ap #361-6075 Est Av.;4833-181;Guimarães;Portugal;lacus.varius@bibendumsedest.org;273338734;937537657
814106;Keane Burnett;713168487;B;+;F;23-04-1960;889 Lectus Avenue;4589-453;Braga;Portugal;Maecenas.iaculis@ac.org;225156822;986772222
360515;Sydney Keith;546267049;A;+;F;27-10-1957;Ap #758-7642 Sed Street;4928-758;Guimarães;Portugal;est.Mauris.eu@nectellus.co.uk;227274338;919155342
985492;Sebastian Castro;456139899;O;-;F;07-02-1982;850-2164 Lacus, Road;4897-444;Porto;Portugal;pharetra.Quisque@purus.com;274354843;919978392
326965;Briar Bird;699939261;AB;+;F;06-04-1971;Ap #416-7337 Dignissim Avenue;4645-979;Barcelos;Portugal;vel.faucibus@magna.co.uk;296169274;993474911
723047;Lewis Pena;406972608;B;+;M;02-06-1986;P.O. Box 680, 8824 Ipsum. Rd.;4689-522;Barcelos;Portugal;magna.Praesent.interdum@malesuadamalesuada.ca;272938673;961844317
413450;Leigh Lang;994442942;B;-;M;20-09-1958;Ap #268-2065 Proin Ave;4122-999;Barcelos;Portugal;in.lobortis.tellus@ipsumPhasellusvitae.org;213768749;936192893
798397;Gareth Mcgowan;873546142;O;-;F;30-07-1986;799-4348 Lorem St.;4337-257;Porto;Portugal;dictum.Phasellus@necligulaconsectetuer.org;287531988;974336936
694955;Zeus Thompson;743886391;B;-;M;27-04-1975;P.O. Box 469, 2936 Dolor Road;4183-359;Barcelos;Portugal;velit.dui.semper@at.org;232119676;977951642
629206;Deirdre Britt;908745993;A;+;M;18-06-1972;Ap #730-2768 Cras Avenue;4127-152;Barcelos;Portugal;facilisis@lectusquis.ca;249453237;962171262
825258;Christen Graham;875486354;B;-;M;04-03-1975;P.O. Box 704, 4581 Dui. St.;4214-752;Guimarães;Portugal;vitae.nibh@magna.com;247226536;913498759
274640;Petra Day;153317790;B;+;F;22-03-1989;Ap #570-3060 Nullam St.;4478-964;Guimarães;Portugal;mollis@Phasellus.org;214964433;988453825
616649;Irma Lamb;749921440;O;-;M;02-02-1988;Ap #136-2509 Arcu. Rd.;4525-611;Porto;Portugal;a.feugiat@Suspendisse.ca;236143926;928123461
975443;Stewart Walls;440570843;A;+;F;09-04-1986;7092 Eu St.;4573-714;Lisboa;Portugal;a.felis@nullaCraseu.com;243832242;944551339
809557;Gillian Mcdonald;376789278;A;+;F;03-02-1966;1587 Tellus St.;4927-975;Lisboa;Portugal;Cras.convallis.convallis@congueelit.com;284436737;953622441
705208;Bruno Alford;292202028;A;-;M;03-05-1956;P.O. Box 311, 6026 Tellus Avenue;4479-497;Braga;Portugal;aliquam@orcisemeget.co.uk;211487615;926981574
403122;Amber Jones;403772782;A;+;F;10-02-1964;Ap #980-4969 Suspendisse St.;4615-398;Guimarães;Portugal;vitae.diam.Proin@a.org;262771521;961641135
501136;Xena Dunlap;245382148;O;-;F;12-01-1963;P.O. Box 800, 5923 A St.;4271-741;Braga;Portugal;Curabitur.vel.lectus@Praesent.org;298194683;975819283
859144;Malachi Carlson;511219584;A;+;M;10-08-1987;P.O. Box 383, 9812 Auctor Rd.;4148-753;Porto;Portugal;mollis.Phasellus@scelerisquelorem.co.uk;289942657;922869114
451412;Melissa Carroll;890221707;O;+;M;20-07-1963;P.O. Box 724, 4290 Nec Rd.;4182-881;Porto;Portugal;ut.ipsum@Maecenasiaculis.co.uk;271987967;999791764
807111;Ivory Joyce;933526967;A;-;M;10-04-1978;879-557 Adipiscing. Av.;4263-165;Lisboa;Portugal;ac.risus@augue.co.uk;288479825;968893656
979343;Ray Dalton;708430713;AB;+;F;16-01-1993;200-9796 Vivamus Road;4956-492;Coimbra;Portugal;et.malesuada@scelerisquesed.co.uk;233945257;923717858
860456;Grady Mathews;263187336;O;-;M;12-03-1974;8746 Lectus Road;4794-163;Coimbra;Portugal;sed.sapien.Nunc@sagittislobortis.com;285793543;919946636
750661;Gareth Burt;991904639;B;-;F;12-03-1963;1098 Eget, Rd.;4992-316;Barcelos;Portugal;Praesent.luctus.Curabitur@turpis.co.uk;263285575;948591534
869279;Quynn Terrell;457340014;O;+;M;06-06-1976;P.O. Box 494, 993 Eleifend Av.;4897-944;Guimarães;Portugal;sodales@estmollisnon.edu;271818771;995458881
162546;Bradley Boyd;444188356;B;-;F;06-08-1993;P.O. Box 347, 794 Varius. Av.;4343-441;Porto;Portugal;gravida.mauris@facilisiseget.com;218958299;938746637
404384;Basil Moon;448563524;AB;+;F;04-02-1958;4917 Imperdiet St.;4499-792;Porto;Portugal;tellus.Nunc.lectus@dapibusidblandit.co.uk;229938342;971617774
634201;Cailin Hopper;983850556;O;-;F;27-05-1981;Ap #872-8152 Lacinia Road;4245-884;Porto;Portugal;nulla@lectusrutrum.org;268687352;991634767
572386;Camilla Simon;482523272;B;-;F;12-02-1969;766-6468 Donec Rd.;4212-388;Lisboa;Portugal;in.consectetuer.ipsum@sodaleselit.com;219184684;944329523
809958;Hayden Mueller;111737161;O;-;F;09-05-1990;405 In Av.;4668-432;Coimbra;Portugal;lobortis.ultrices@risusvariusorci.com;271463824;913265729
520909;Georgia Ball;694979840;B;-;F;21-02-1980;396-3944 Gravida. Avenue;4867-366;Guimarães;Portugal;a.scelerisque@magnaPraesentinterdum.org;293381519;995439781
475064;Kirk Albert;717051507;B;-;M;04-04-1986;1738 Quisque Road;4976-261;Barcelos;Portugal;erat.Sed.nunc@maurisaliquameu.com;254588479;981643352
778591;Ezekiel Tran;873349825;B;-;M;18-08-1973;Ap #453-4303 Mattis. Rd.;4694-381;Guimarães;Portugal;magna.Duis@lectus.co.uk;299557612;957833815
166330;Christopher Welch;263869928;O;-;M;04-11-1956;768-2666 Nulla Avenue;4256-113;Barcelos;Portugal;ac.orci.Ut@tristiquepellentesque.edu;268117264;996597252
558346;Caleb Bernard;275014341;A;+;M;10-06-1958;6612 Praesent Ave;4861-288;Lisboa;Portugal;rhoncus.Proin.nisl@sagittis.com;284112146;974269861
357131;Elton Ruiz;435078879;B;-;F;07-12-1963;300 A, St.;4393-833;Coimbra;Portugal;venenatis.lacus@dolor.ca;294333168;976272239
211709;Anika Spears;333184450;O;+;M;15-03-1959;5057 Faucibus Avenue;4724-668;Braga;Portugal;nec.ante.Maecenas@arcuacorci.ca;288568614;974383145
470443;Merritt Freeman;314804052;O;-;M;16-05-1980;150-6298 Morbi Street;4546-824;Porto;Portugal;erat@Morbinonsapien.net;299554565;987841522
978868;Yasir Waller;931169570;B;-;F;12-11-1979;Ap #779-3811 Semper Street;4114-254;Guimarães;Portugal;Proin.vel.arcu@accumsannequeet.co.uk;268169754;956483813
170450;Rafael Foley;152039452;AB;+;M;30-09-1986;437 Pede, Road;4661-929;Porto;Portugal;sit@sociisnatoque.org;246254697;993262992
150701;Brianna Cardenas;327769936;A;-;F;09-05-1986;Ap #748-839 Neque St.;4264-576;Coimbra;Portugal;tincidunt@egestasFusce.org;288743533;914175727
686596;Drew Hays;814591864;O;+;F;06-01-1977;8631 Nisl. St.;4794-863;Coimbra;Portugal;lorem.lorem@Sed.co.uk;277665227;932385152
850821;Ulric Fulton;623851515;O;-;F;21-04-1963;P.O. Box 990, 4691 At Road;4974-462;Guimarães;Portugal;fermentum.fermentum.arcu@orcisemeget.com;271158549;997655642
602368;Grady Mclaughlin;908831444;O;-;F;06-07-1964;P.O. Box 780, 4927 Lacus. Rd.;4122-654;Lisboa;Portugal;amet@lectusrutrumurna.co.uk;268778667;982778949
226329;Ciaran Pickett;656311117;AB;-;M;11-06-1982;P.O. Box 426, 5291 Semper Rd.;4937-169;Guimarães;Portugal;fames.ac.turpis@lacusQuisqueimperdiet.com;222988524;937949773
182903;Cedric Scott;498441879;B;+;M;13-01-1991;P.O. Box 620, 2252 Placerat, Ave;4215-486;Guimarães;Portugal;eu.arcu.Morbi@dictumeueleifend.edu;225711135;988875282
593975;Carson Meyers;750071105;B;+;F;08-03-1969;Ap #160-4249 Et Rd.;4934-164;Barcelos;Portugal;Nullam.vitae.diam@convallis.edu;252468417;927195913
513130;Adrienne Morgan;961616890;A;+;M;11-05-1978;912-1604 A Rd.;4964-598;Barcelos;Portugal;cursus@bibendumullamcorper.ca;238194534;956733332
606153;Lillith Houston;809600792;B;-;M;16-06-1977;P.O. Box 632, 8081 At, Avenue;4697-187;Coimbra;Portugal;ligula.elit@cursus.org;266128259;915765925
579821;Dominique Bonner;123082049;AB;-;F;27-08-1965;7350 Nulla. Street;4954-347;Guimarães;Portugal;Quisque@risusNullaeget.org;292823841;925171786
774908;Zane Meyer;468958660;O;+;F;14-04-1985;2965 Nisi. St.;4199-153;Guimarães;Portugal;diam@Integer.org;238213711;968467821
151767;Shelley Ochoa;478011233;A;-;M;08-08-1965;700-3512 Maecenas Rd.;4119-863;Braga;Portugal;odio.Etiam@Sed.com;232297474;948161395
758331;Sage Douglas;789997778;B;+;M;05-05-1975;P.O. Box 537, 2631 Vitae Street;4563-727;Barcelos;Portugal;dictum.eu@Praesent.com;237177253;991964277
858914;Henry Mcdaniel;950814310;O;+;F;11-01-1983;676 Nulla Rd.;4852-573;Barcelos;Portugal;egestas.Sed@arcu.net;213183943;946871922
399763;Matthew Guzman;287458607;O;-;M;16-07-1979;346 Elit St.;4358-163;Barcelos;Portugal;luctus.felis.purus@Lorem.ca;239689351;972232126
497554;Amir Forbes;892852605;AB;-;F;31-08-1960;P.O. Box 940, 2363 Sit Avenue;4836-266;Porto;Portugal;semper.cursus@Mauris.com;287744148;966981681
481350;Ferdinand Carr;159978687;O;-;M;29-06-1984;717-6028 Scelerisque, Avenue;4147-472;Barcelos;Portugal;lobortis@veliteu.co.uk;255512781;967845116
369570;Madonna Petty;394188373;B;+;F;30-08-1988;161-2678 Consectetuer Rd.;4765-441;Braga;Portugal;parturient@a.ca;249129193;975666311
957221;Amber Graves;312061981;B;-;F;01-04-1989;Ap #627-4580 Dolor. St.;4815-249;Barcelos;Portugal;Fusce.feugiat.Lorem@dapibus.net;284992651;975514953
738815;Lacota Dotson;792240403;O;+;M;22-03-1991;755-6533 Mus. St.;4544-291;Guimarães;Portugal;est.mauris.rhoncus@ligula.org;256673334;955593659
720985;Alika Ballard;687053321;A;+;M;18-05-1988;2898 Felis Avenue;4575-538;Coimbra;Portugal;semper@in.org;226211147;918554491
179926;Quon Blankenship;115523902;B;+;M;01-12-1987;571-9385 Primis St.;4929-672;Guimarães;Portugal;Nunc.sollicitudin@Donecconsectetuer.com;261793147;948762627
210750;Sacha Woodward;532495712;O;+;M;07-12-1967;382-1734 Suspendisse Avenue;4111-374;Lisboa;Portugal;arcu.ac.orci@necurnaet.edu;288739491;945185566
149311;Tate Green;317186878;B;+;F;12-10-1974;923-6938 Ultrices Rd.;4788-629;Coimbra;Portugal;ut.erat.Sed@maurisMorbi.com;285699111;945778771
396993;Zeph Flynn;272129959;AB;+;F;28-05-1983;3169 Ante Street;4984-691;Coimbra;Portugal;hymenaeos.Mauris@dolorsitamet.edu;241282915;981787536
